CompteurTemps	Temps	Cx0	Cy0	
217	10.8	-0.0569084	-0.0197877	
218	10.85	-0.0569929	-0.019821	
219	10.9	-0.0568972	-0.0197	
220	10.95	-0.0567356	-0.0194938	
221	11	-0.0569829	-0.0196318	
222	11.05	-0.0565264	-0.0196964	
223	11.1	-0.0569526	-0.0199326	
224	11.15	-0.0569294	-0.0198802	
225	11.2	-0.056744	-0.0198319	
226	11.25	-0.056928	-0.0198631	
227	11.3	-0.0570548	-0.019872	
228	11.35	-0.0570025	-0.0198396	
229	11.4	-0.0567757	-0.0198614	
230	11.45	-0.0569972	-0.0198628	
231	11.5	-0.0566975	-0.0197748	
232	11.55	-0.0569721	-0.0198284	
233	11.6	-0.0569921	-0.0197949	
234	11.65	-0.0568995	-0.019797	
235	11.7	-0.0569002	-0.0199521	
236	11.75	-0.0569051	-0.0198625	
237	11.8	-0.057121	-0.0198039	
238	11.85	-0.0569559	-0.0198192	
239	11.9	-0.0570038	-0.0197608	
240	11.95	-0.0570283	-0.0198049	
241	12	-0.057022	-0.0198112	
242	12.05	-0.0569179	-0.0197882	
243	12.1	-0.0569977	-0.0197673	
244	12.15	-0.0567025	-0.0197367	
245	12.2	-0.0569143	-0.0197357	
246	12.25	-0.0568923	-0.0197639	
247	12.3	-0.057025	-0.0197513	
248	12.35	-0.0567909	-0.0197587	
249	12.4	-0.0568497	-0.0197476	
250	12.45	-0.0569825	-0.0197451	
251	12.5	-0.0570405	-0.0199167	
252	12.55	-0.0570562	-0.0198297	
253	12.6	-0.0568826	-0.0198307	
254	12.65	-0.0569866	-0.0198026	
255	12.7	-0.0570486	-0.0197491	
256	12.75	-0.0571151	-0.0198359	
257	12.8	-0.0570307	-0.01981	
258	12.85	-0.056781	-0.0196912	
259	12.9	-0.0568311	-0.0198521	
260	12.95	-0.0567269	-0.0197315	
261	13	-0.0569741	-0.0197864	
262	13.05	-0.0568243	-0.0197182	
263	13.1	-0.0569568	-0.019734	
264	13.15	-0.0569478	-0.0198847	
265	13.2	-0.0570154	-0.0196828	
266	13.25	-0.0566167	-0.0196552	
267	13.3	-0.0568168	-0.0196663	
268	13.35	-0.0565855	-0.0196566	
269	13.4	-0.0567498	-0.0197666	
270	13.45	-0.056927	-0.0196598	
271	13.5	-0.0568807	-0.0196723	
272	13.55	-0.056874	-0.0196537	
273	13.6	-0.0571336	-0.019593	
274	13.65	-0.0568886	-0.0197355	
275	13.7	-0.0565257	-0.01974	
276	13.75	-0.0570217	-0.0197283	
277	13.8	-0.0570179	-0.0197936	
278	13.85	-0.056763	-0.0196467	
279	13.9	-0.0567595	-0.0196416	
280	13.95	-0.0566899	-0.0197019	
281	14	-0.0568862	-0.0196207	
282	14.05	-0.0570357	-0.0197918	
283	14.1	-0.0569183	-0.0197268	
284	14.15	-0.0568295	-0.0196835	
285	14.2	-0.0568668	-0.0197434	
286	14.25	-0.056745	-0.0196495	
287	14.3	-0.0569271	-0.0200212	
288	14.35	-0.0568405	-0.0201004	
289	14.4	-0.0568006	-0.0200443	
290	14.45	-0.0569155	-0.0199928	
291	14.5	-0.0566824	-0.0199322	
292	14.55	-0.0567637	-0.0197872	
293	14.6	-0.0569653	-0.0198807	
294	14.65	-0.0568547	-0.0197235	
295	14.7	-0.0568327	-0.0198535	
296	14.75	-0.0566801	-0.019685	
